date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:52:43	896339/896339	---M-Z	200	added ('OK')	text/html	etag:%222aa0dc9ea497105cbefc0273f3b41826%22	https://www.aneta.so/	C:/Users/harsh/Desktop/Portfolio%20inspo/aneta_port/aneta_port/www.aneta.so/index.html	(from )
14:52:44	85/85	---M-Z	200	added ('OK')	text/plain	etag:%226115f58c1e5e8e6ec6c743a79d36a89d%22	https://www.aneta.so/robots.txt		(from )
14:52:44	3591/3591	---MC-	200	added ('OK')	image/png	etag:%228832fa547c5b50cd4270e0d47ac08870%22	https://framerusercontent.com/images/5PuqduNTmZKl522RkTc3BJNUKrw.png	C:/Users/harsh/Desktop/Portfolio%20inspo/aneta_port/aneta_port/framerusercontent.com/images/5PuqduNTmZKl522RkTc3BJNUKrw.png	(from https://www.aneta.so/)
14:52:44	147630/147630	---MC-	200	added ('OK')	image/png	etag:%22cf264323e74b8602433e6713d2855ca3%22	https://framerusercontent.com/images/0SK3XHrSL7ad25nQT8Zss7f98Bk.png	C:/Users/harsh/Desktop/Portfolio%20inspo/aneta_port/aneta_port/framerusercontent.com/images/0SK3XHrSL7ad25nQT8Zss7f98Bk.png	(from https://www.aneta.so/)
14:52:44	7384/7384	---MC-	404	error ('Not%20Found')	text/html	date:Sun,%2015%20Jun%202025%2021:52:45%20GMT	https://www.aneta.so/[object%20Object]	C:/Users/harsh/Desktop/Portfolio%20inspo/aneta_port/aneta_port/www.aneta.so/[object%20Object].2.delayed	(from https://www.aneta.so/)
14:52:45	1212174/1212174	---MC-	200	added ('OK')	image/png	etag:%225194dd69e06f182a29dcf3d57f03160d%22	https://framerusercontent.com/images/XNihpzlM5AMXKID7VcQO7d8QB9A.png	C:/Users/harsh/Desktop/Portfolio%20inspo/aneta_port/aneta_port/framerusercontent.com/images/XNihpzlM5AMXKID7VcQO7d8QB9A.png	(from https://www.aneta.so/)
14:52:45	467538/467538	---MC-	200	added ('OK')	image/png	etag:%22913329f1d00296c21d3fab2deb611420%22	https://framerusercontent.com/images/RcvCNT4xte4Wv2dcCVzv0ZlKg.png	C:/Users/harsh/Desktop/Portfolio%20inspo/aneta_port/aneta_port/framerusercontent.com/images/RcvCNT4xte4Wv2dcCVzv0ZlKg.png	(from https://www.aneta.so/)
14:52:45	631647/631647	---MC-	200	added ('OK')	image/png	etag:%229f6c5b242f343e784da73f9f8bc8bb35%22	https://framerusercontent.com/images/dH0BKZj6c9d0QF6Iz3Ches4DGI.png	C:/Users/harsh/Desktop/Portfolio%20inspo/aneta_port/aneta_port/framerusercontent.com/images/dH0BKZj6c9d0QF6Iz3Ches4DGI.png	(from https://www.aneta.so/)
14:52:48	782515/782515	---MC-	200	added ('OK')	image/png	etag:%2251227417d22b69abe7dfbd78ebba8891%22	https://framerusercontent.com/images/uCxMjWrRMlwSLaInSyNb2SHK9rI.png	C:/Users/harsh/Desktop/Portfolio%20inspo/aneta_port/aneta_port/framerusercontent.com/images/uCxMjWrRMlwSLaInSyNb2SHK9rI.png	(from https://www.aneta.so/)
14:52:48	675223/675223	---MC-	200	added ('OK')	image/png	etag:%229b8fe79e686d94974c578d556c758e9d%22	https://framerusercontent.com/images/XTKO9zlwpFvWmVA4xEh8CXk6H6I.png	C:/Users/harsh/Desktop/Portfolio%20inspo/aneta_port/aneta_port/framerusercontent.com/images/XTKO9zlwpFvWmVA4xEh8CXk6H6I.png	(from https://www.aneta.so/)
14:52:48	411967/411967	---MC-	200	added ('OK')	image/png	etag:%22ff59c93e54bf5c408686ea1b5faafacb%22	https://framerusercontent.com/images/DlBRejzIxfXiQe15HoZ0B60mUVg.png	C:/Users/harsh/Desktop/Portfolio%20inspo/aneta_port/aneta_port/framerusercontent.com/images/DlBRejzIxfXiQe15HoZ0B60mUVg.png	(from https://www.aneta.so/)
14:52:48	62974/62974	---MC-	200	added ('OK')	image/png	etag:%22648f1c10489732c6e2ba45e8fe7775f8%22	https://framerusercontent.com/images/537Co5IYzsv8NUpnfMdceXX4Nw.png	C:/Users/harsh/Desktop/Portfolio%20inspo/aneta_port/aneta_port/framerusercontent.com/images/537Co5IYzsv8NUpnfMdceXX4Nw.png	(from https://www.aneta.so/)
14:52:48	916512/916512	---MC-	200	added ('OK')	image/png	etag:%227628c37f359d37faeee238fe3aa66fe1%22	https://framerusercontent.com/images/qFYnXDpBLhCfQVqT93eyiuJlfi0.png	C:/Users/harsh/Desktop/Portfolio%20inspo/aneta_port/aneta_port/framerusercontent.com/images/qFYnXDpBLhCfQVqT93eyiuJlfi0.png	(from https://www.aneta.so/)
14:52:49	524301/524301	---MC-	200	added ('OK')	image/png	etag:%22809615a719f4a23178c693d8b7183717%22	https://framerusercontent.com/images/uK1WhuLUw4YwaAgZuthUR4kJxSY.png	C:/Users/harsh/Desktop/Portfolio%20inspo/aneta_port/aneta_port/framerusercontent.com/images/uK1WhuLUw4YwaAgZuthUR4kJxSY.png	(from https://www.aneta.so/)
14:52:49	503346/503346	---MC-	200	added ('OK')	image/png	etag:%22bed711dc0ec6b4a808fd135c56b651dc%22	https://framerusercontent.com/images/WU6ZfGmfcV3H6SJgq0xZHBVXJo.png	C:/Users/harsh/Desktop/Portfolio%20inspo/aneta_port/aneta_port/framerusercontent.com/images/WU6ZfGmfcV3H6SJgq0xZHBVXJo.png	(from https://www.aneta.so/)
14:52:49	14166/14166	---MC-	200	added ('OK')	image/png	etag:%22b23e800a0e47e212bd76f91ab0e59684%22	https://framerusercontent.com/images/BGn5BhgoKhWk8VyzKWr6oLkMJo.png	C:/Users/harsh/Desktop/Portfolio%20inspo/aneta_port/aneta_port/framerusercontent.com/images/BGn5BhgoKhWk8VyzKWr6oLkMJo.png	(from https://www.aneta.so/)
14:52:50	1244202/1244202	---MC-	200	added ('OK')	image/png	etag:%22000eb4854dedf0a8d40a899c431c4a9c%22	https://framerusercontent.com/images/GNcuHlKUdVfTJ4OYp1XDfRgK4.png	C:/Users/harsh/Desktop/Portfolio%20inspo/aneta_port/aneta_port/framerusercontent.com/images/GNcuHlKUdVfTJ4OYp1XDfRgK4.png	(from https://www.aneta.so/)
